Locality,Property_Type,BHK,Bathrooms,Balconies,Area_SqFt,Age_Years,Floor_No,Total_Floors,Furnishing,Parking_Spaces,Distance_From_Metro_KM,Price_INR
Dwarka,Builder Floor,3,3,0,1563.1,10,7,12,Semi-Furnished,1,0.04,11625000.0
Golf Links,Builder Floor,2,2,3,1406.7,14,13,16,Unfurnished,2,1.26,25465000.0
Defence Colony,Independent House,1,1,1,1759.9,6,11,19,Unfurnished,2,0.6,29829000.0
Rohini,Builder Floor,3,2,2,986.6,33,9,13,Semi-Furnished,2,0.19,5678000.0
Rohini,Builder Floor,3,3,2,1479.0,28,14,15,Unfurnished,1,1.0,9832000.0
Rohini,Apartment,3,3,0,1274.6,38,9,18,Fully-Furnished,2,1.19,7744000.0
Vasant Vihar,Apartment,3,3,2,768.1,0,2,7,Fully-Furnished,2,2.56,14654000.0
Vikaspuri,Apartment,1,1,0,314.1,38,0,4,Semi-Furnished,1,0.3,1757000.0
Dwarka,Apartment,1,1,0,863.2,1,9,18,Unfurnished,1,0.49,6140000.0
Chattarpur,Builder Floor,4,3,0,1811.6,26,13,22,Fully-Furnished,2,0.01,13935000.0
Rohini,Apartment,2,2,0,1683.5,31,7,16,Unfurnished,0,0.59,7824000.0
Mayur Vihar,Apartment,2,2,2,524.4,1,11,17,Unfurnished,1,2.01,3366000.0
Golf Links,Apartment,3,2,1,1689.5,16,14,20,Unfurnished,1,2.01,24655000.0
Lajpat Nagar,Builder Floor,3,3,2,1267.2,35,2,5,Fully-Furnished,1,0.2,12574000.0
Pitampura,Independent House,2,2,0,2248.2,22,14,17,Unfurnished,0,8.05,12071000.0
Chattarpur,Apartment,4,4,2,1002.7,8,8,11,Semi-Furnished,2,3.88,7684000.0
Vasant Vihar,Independent House,1,1,2,2090.5,28,1,3,Semi-Furnished,1,10.39,30923000.0
Hauz Khas,Builder Floor,3,3,2,1174.6,16,0,3,Semi-Furnished,0,1.78,14611000.0
Saket,Apartment,3,3,1,1183.0,32,4,7,Semi-Furnished,1,0.09,13606000.0
Mayur Vihar,Builder Floor,5,5,2,1362.8,20,6,7,Unfurnished,0,1.63,10402000.0
Greater Kailash,Independent House,5,2,1,2092.4,1,9,10,Fully-Furnished,0,2.47,41419000.0
Dwarka,Apartment,4,4,1,1254.5,35,12,16,Semi-Furnished,1,3.18,9079000.0
Mayur Vihar,Builder Floor,2,2,1,1420.5,21,9,15,Unfurnished,0,0.72,7641000.0
Lajpat Nagar,Apartment,2,2,0,1568.1,31,3,6,Semi-Furnished,1,7.45,11192000.0
Karol Bagh,Apartment,2,2,0,901.5,22,14,23,Semi-Furnished,0,4.94,6976000.0
Uttam Nagar,Apartment,3,3,3,1629.6,38,14,19,Semi-Furnished,1,0.57,7977000.0
Najafgarh,Apartment,1,1,1,998.2,4,11,16,Semi-Furnished,0,1.14,3413000.0
Karol Bagh,Builder Floor,1,1,1,1302.7,4,12,16,Semi-Furnished,2,5.77,10901000.0
Chattarpur,Independent House,3,3,3,2634.4,2,0,1,Semi-Furnished,0,0.64,19962000.0
Mayur Vihar,Apartment,2,2,0,954.1,33,2,11,Semi-Furnished,1,0.86,5099000.0
Lajpat Nagar,Builder Floor,2,2,2,1643.9,34,0,3,Unfurnished,1,3.0,13331000.0
Defence Colony,Apartment,2,2,1,1443.3,19,8,14,Unfurnished,0,0.11,21345000.0
Pitampura,Builder Floor,3,3,1,1517.6,15,4,9,Unfurnished,1,2.23,9917000.0
Hauz Khas,Builder Floor,4,4,3,1297.2,4,2,9,Semi-Furnished,1,6.93,20879000.0
Pitampura,Builder Floor,1,1,0,1153.3,26,9,11,Unfurnished,0,8.63,5295000.0
Najafgarh,Builder Floor,4,3,1,1304.8,30,2,8,Semi-Furnished,0,0.8,5517000.0
Greater Kailash,Apartment,3,3,2,1533.1,38,0,3,Semi-Furnished,2,0.94,16866000.0
Shahdara,Apartment,4,4,1,330.7,20,5,10,Fully-Furnished,0,1.61,2202000.0
Chattarpur,Apartment,2,2,2,958.4,2,6,15,Fully-Furnished,2,0.12,7164000.0
Saket,Apartment,2,2,1,664.1,27,11,16,Fully-Furnished,2,2.4,7670000.0
